label	Kindom	Abundance
BACasv845	Bac	0.00554105
BACasv846	Bac	0.00554105
BACasv847	Bac	0.0042525
BACasv848	Bac	0.0042525
BACasv849	Bac	0.0042525
BACasv850	Bac	0.0099531
BACasv851	Bac	0.006413175
BACasv852	Bac	0.014936775
BACasv853	Bac	0.006413175
BACasv854	Bac	0.006413175
BACasv855	Bac	0.006413175
BACasv856	Bac	0.004727088
BACasv857	Bac	0.004727088
BACasv858	Bac	0.004727088
BACasv859	Bac	0.002787763
BACasv860	Bac	0.00648565
BACasv861	Bac	0.00979315
BACasv862	Bac	0.00648565
BACasv863	Bac	0.00648565
BACasv864	Bac	0.00648565
BACasv870	Bac	0.0014175
BACasv873	Bac	0.010509413
BACasv874	Bac	0.008232875
BACasv875	Bac	0.00378
BACasv876	Bac	0.011544738
BACasv877	Bac	0.00378
BACasv878	Bac	0.007342875
BACasv879	Bac	0.00378
BACasv880	Bac	0.0057006
BACasv881	Bac	0.0057006
BACasv882	Bac	0.012086463
BACasv883	Bac	0.0057006
BACasv884	Bac	0.013071263
BACasv885	Bac	0.004201863
BACasv886	Bac	0.004201863
BACasv887	Bac	0.008462013
BACasv888	Bac	0.004201863
BACasv889	Bac	0.005295488
BACasv890	Bac	0.0077735
BACasv891	Bac	0.006504488
BACasv892	Bac	0.006504488
BACasv893	Bac	0.006504488
BACasv894	Bac	0.005765013
BACasv895	Bac	0.005765013
BACasv896	Bac	0.005765013
BACasv904	Bac	0.004309713
BACasv905	Bac	0.004309713
BACasv906	Bac	0.008619413
BACasv907	Bac	0.004309713
BACasv908	Bac	0.0033075
BACasv909	Bac	0.0033075
BACasv910	Bac	0.0033075
BACasv911	Bac	0.0033075
BACasv912	Bac	0.008139413
BACasv913	Bac	0.003676625
BACasv914	Bac	0.005523638
BACasv915	Bac	0.006526925
BACasv916	Bac	0.003676625
BACasv917	Bac	0.003676625
BACasv918	Bac	0.002168263
BACasv919	Bac	0.002168263
BACasv920	Bac	0.002168263
BACasv921	Bac	0.005691425
BACasv922	Bac	0.005044388
BACasv923	Bac	0.005044388
BACasv924	Bac	0.005044388
BACasv938	Bac	0.003694038
BACasv939	Bac	0.003694038
BACasv940	Bac	0.003694038
BACasv941	Bac	0.003694038
BACasv942	Bac	0.003694038
BACasv943	Bac	0.003694038
BACasv944	Bac	0.003694038
BACasv945	Bac	0.006873388
BACasv946	Bac	0.002835
BACasv947	Bac	0.002835
BACasv948	Bac	0.002835
BACasv949	Bac	0.002835
BACasv950	Bac	0.0056853
BACasv951	Bac	0.00427545
BACasv952	Bac	0.00427545
BACasv953	Bac	0.005289113
BACasv954	Bac	0.003151388
BACasv955	Bac	0.003151388
BACasv956	Bac	0.00622975
BACasv957	Bac	0.0018585
BACasv958	Bac	0.0018585
BACasv959	Bac	0.004878363
BACasv960	Bac	0.004323763
BACasv961	Bac	0.004323763
BACasv973	Bac	0.003078363
BACasv974	Bac	0.004968363
BACasv975	Bac	0.003078363
BACasv976	Bac	0.004128363
BACasv977	Bac	0.004825188
BACasv978	Bac	0.0023625
BACasv979	Bac	0.0023625
