label	Kindom	Abundance
FUNasv469	Fun	0.004096313
FUNasv470	Fun	0.00025
FUNasv473	Fun	0.005530475
FUNasv474	Fun	0.00418955
FUNasv476	Fun	0.00061
FUNasv477	Fun	0.003188325
FUNasv478	Fun	0.0024296
FUNasv483	Fun	0.001372963
FUNasv484	Fun	0.0007625
FUNasv485	Fun	0.0056882
FUNasv491	Fun	0.0024175
FUNasv494	Fun	0.0010575
FUNasv496	Fun	0.001372963
FUNasv497	Fun	0.002572063
FUNasv500	Fun	0.000375
FUNasv501	Fun	0.002646375
FUNasv502	Fun	0.00153875
FUNasv507	Fun	0.00155375
FUNasv508	Fun	0.003491975
FUNasv510	Fun	0.00069
FUNasv512	Fun	0.00087375
FUNasv513	Fun	0.0011975
FUNasv514	Fun	0.00278935
FUNasv515	Fun	0.003288563
FUNasv516	Fun	0.003055025
FUNasv518	Fun	0.00025
FUNasv519	Fun	0.0019725
FUNasv520	Fun	0.00106375
FUNasv521	Fun	0.000305
FUNasv528	Fun	0.00062375
FUNasv529	Fun	0.00327935
FUNasv530	Fun	0.0003025
FUNasv538	Fun	0.00087375
FUNasv539	Fun	0.00025
FUNasv540	Fun	0.0027442
FUNasv541	Fun	0.002670975
FUNasv543	Fun	0.00061
FUNasv544	Fun	0.00188375
FUNasv550	Fun	0.00055875
FUNasv556	Fun	0.002148313
FUNasv557	Fun	0.00025
FUNasv558	Fun	0.00121625
FUNasv562	Fun	0.0008625
FUNasv564	Fun	0.00074875
FUNasv565	Fun	0.001405
FUNasv566	Fun	0.00049875
FUNasv567	Fun	0.00090625
FUNasv568	Fun	0.0016532
FUNasv569	Fun	0.001954938
FUNasv570	Fun	0.00025
FUNasv573	Fun	0.00025
FUNasv579	Fun	0.0016226
FUNasv580	Fun	0.00186125
FUNasv581	Fun	0.00047625
FUNasv582	Fun	0.001937525
FUNasv584	Fun	0.002706538
FUNasv585	Fun	0.00074875
FUNasv586	Fun	0.00120875
FUNasv587	Fun	0.001813175
FUNasv588	Fun	0.0011175
FUNasv595	Fun	0.000605
FUNasv599	Fun	0.000745
FUNasv601	Fun	0.00087375
FUNasv602	Fun	0.00061
FUNasv603	Fun	0.000755
FUNasv604	Fun	0.000605
FUNasv605	Fun	0.00059625
FUNasv610	Fun	0.001553375
FUNasv616	Fun	0.00159625
FUNasv617	Fun	0.00035375
FUNasv624	Fun	0.000375
FUNasv625	Fun	0.0005175
FUNasv626	Fun	0.00045375
FUNasv627	Fun	6.00E-04
FUNasv628	Fun	0.0010625
FUNasv629	Fun	0.0010625
FUNasv630	Fun	0.0007125
FUNasv634	Fun	0.0005175
FUNasv642	Fun	0.00099875
FUNasv643	Fun	0.001295
FUNasv644	Fun	0.000945
FUNasv645	Fun	0.000945
FUNasv646	Fun	0.0011175
FUNasv647	Fun	0.0011175
FUNasv648	Fun	0.001269813
FUNasv649	Fun	0.00079375
FUNasv652	Fun	0.00059
FUNasv663	Fun	0.00104375
FUNasv666	Fun	0.00120875
FUNasv667	Fun	0.00082625
FUNasv668	Fun	0.00082625
FUNasv672	Fun	0.0004725
FUNasv685	Fun	0.00090625
FUNasv687	Fun	0.0008375
FUNasv700	Fun	0.00062375
FUNasv701	Fun	0.0007625
FUNasv702	Fun	0.0007625
FUNasv703	Fun	0.0008625
FUNasv704	Fun	0.00069875
FUNasv705	Fun	0.00069875
FUNasv706	Fun	0.00079375
FUNasv707	Fun	0.00098125
FUNasv715	Fun	0.000375
FUNasv725	Fun	0.00049875
FUNasv726	Fun	0.0004725
FUNasv727	Fun	0.00055875
FUNasv728	Fun	0.00055875
FUNasv729	Fun	0.000635
FUNasv730	Fun	0.000635
FUNasv731	Fun	0.000635
FUNasv732	Fun	0.00059625
FUNasv756	Fun	0.000375
FUNasv757	Fun	0.00045375
FUNasv758	Fun	0.00045375
FUNasv759	Fun	0.00035375
FUNasv760	Fun	0.00066875
FUNasv761	Fun	0.00041875
FUNasv762	Fun	0.00041875
FUNasv763	Fun	0.00047625
FUNasv764	Fun	0.0004475
FUNasv777	Fun	0.000305
FUNasv778	Fun	0.000305
FUNasv779	Fun	0.000305
FUNasv780	Fun	0.0002975
FUNasv781	Fun	0.0002975
ProASV1	Pro	0.014705888
ProASV2	Pro	0.147058825
ProASV3	Pro	0.007352938
ProASV4	Pro	0.029411763
ProASV14	Pro	0.073529413
ProASV17	Pro	0.007352938
ProASV18	Pro	0.04411765
ProASV23	Pro	0.007352938
ProASV25	Pro	0.014705888
ProASV30	Pro	0.029411763
